Hexanchus griseus
Parodia glaucina
Siccobaccatus insigniflorus
Micranthocereus hofackerianus
Arrojadoa multiflora
Arrojadoa beateae
Arrojadoa albiflora
Parodia permutata
Parodia gaucha
Discocactus cangaensis
Discocactus subterraneo-proliferans
Discocactus cephaliaciculosus
Rhipsalis triangularis
Coleocephalocereus uebelmanniorum
Littoraria angulifera
Ophioblennius atlanticus
Storrsia olsoni
Platygillellus brasiliensis
Scartella itajobi
Scartella poiti
Labrisomus cricota
Hypleurochilus fissicornis
Lupinoblennius paivai
Starksia multilepis
Paraclinus arcanus
Emblemaria australis
Entomacrodus vomerinus
Dactylopterus volitans
Labrisomus conditus
Paraclinus spectator
Ophioblennius trinitatis
Starksia brasiliensis
Sphaenorhynchus botocudo
Trachycephalus mambaiensis
Hyalinobatrachium carlesvilai
Phaeoptyx pigmentaria
Astrapogon stellatus
Astrapogon puncticulatus
Eucinostomus lefroyi
Acyrtus artius
Psilotris celsus
Risor ruber
Acyrtops beryllinus
Paroncheilus affinis
Apogon robbyi
Apogon pseudomaculatus
Apogon quadrisquamatus
Awaous tajasica
Barbulifer ceuthoecus
Bollmannia boqueronensis
Chriolepis vespa
Chriolepis fisheri
Coryphopterus glaucofraenum
Coryphopterus dicrus
Ctenogobius boleosoma
Ctenogobius smaragdus
Diapterus auratus
Dormitator maculatus
Eleotris amblyopsis
Eleotris perniger
Eleotris pisonis
Erotelis smaragdus
Eucinostomus melanopterus
Eucinostomus argenteus
Eucinostomus gula
Eucinostomus jonesii
Eugerres brasilianus
Evorthodus lyricus
Gobiesox barbatulus
Gobioides grahamae
Gobioides broussonnetii
Gobiomorus dormitor
Gobiosoma hemigymnum
Gobulus myersi
Guavina guavina
Microgobius meeki
Parrella macropteryx
Priolepis dawsoni
Priolepis hipoliti
Sicydium punctatum
Pimelodus britskii
Pseudotocinclus juquiae
Cheirodon interruptus
Cynolebias perforatus
Hypsolebias fasciatus
Notholebias fractifasciatus
Hypostomus isbrueckeri
Pseudobunocephalus iheringii
Pimelodus paranaensis
Hypostomus pusarum
Sternarchorhynchus britskii
Hypostomus derbyi
Plagioscion squamosissimus
Roeboides xenodon
Gymnogeophagus labiatus
Ageneiosus ucayalensis
Auchenipterus nigripinnis
Brycon devillei
Eigenmannia trilineata
Rineloricaria microlepidogaster
Pareiorhina rudolphi
Hypostomus meleagris
Hypostomus jaguribensis
Corydoras vittatus
Iheringichthys labrosus
Hemigrammus gracilis
Myleus micans
Ituglanis parahybae
Crenicichla haroldoi
Geophagus brasiliensis
Gymnogeophagus meridionalis
Phalloptychus januarius
Hypostomus garmani
Melanorivulus faucireticulatus
Steindachneridion doceanum
Phalloceros spiloura
Trichomycterus maracaya
Leptopanchax itanhaensis
Scleronema operculatum
Imparfinis hollandi
Neoplecostomus yapo
Hemiancistrus votouro
Prochilodus vimboides
Crenicichla jurubi
Parotocinclus jimi
Corydoras lacerdai
Microglanis garavelloi
Astyanax epiagos
Cynolebias gibbus
Trachelyopterus leopardinus
Pyrrhulina australis
Aphanotorulus gomesi
Rineloricaria longicauda
Parotocinclus spilosoma
Rhamdiopsis microcephala
Parotocinclus planicauda
Parotocinclus spilurus
Hypostomus subcarinatus
Rhinodoras dorbignyi
Paravandellia oxyptera
Steindachnerina notonota
Hypsolebias rufus
Moenkhausia costae
Rhamdia quelen
Cambeva igobi
Jenynsia unitaenia
Aspidoras fuscoguttatus
Heterocheirodon jacuiensis
Astyanax rivularis
Leporinus melanopleura
Hoplias malabaricus
Cichlasoma sanctifranciscense
Hisonotus aky
Ituglanis proops
Pimelodus pintado
Rineloricaria strigilata
Lophiosilurus alexandri
Salminus brasiliensis
Diapoma tipiaia
Charax stenopterus
Garcialebias charrua
Trichomycterus giganteus
Crenicichla lacustris
Rhamdella jenynsii
Garcialebias adloffi
Cynolebias itapicuruensis
Wertheimeria maculata
Leporinus copelandii
Leporinus steindachneri
Corydoras steindachneri
Hypostomus tapijara
Leporellus pictus
Astyanax altiparanae
Gymnotus carapo
Oligosarcus hepsetus
Moenkhausia sanctaefilomenae
Phalloceros anisophallos
Hypostomus alatus
Hypostomus affinis
Salminus franciscanus
Pimelodella ignobilis
Hisonotus taimensis
Crenicichla gaucho
Pareiorhaphis mutuca
Apareiodon vladii
Chasmocranus brachynemus
Hoplosternum littorale
Corumbataia britskii
Pimelodella gracilis
Schizodon altoparanae
Listrura nematopteryx
Psectrogaster saguiru
Ancistrus multispinis
Parotocinclus doceanus
Cambeva guaraquessaba
Hypostomus interruptus
Pimelodella avanhandavae
Loricariichthys castaneus
Tetragonopterus chalceus
Imparfinis piperatus
Hisonotus yasi
Schizodon platae
Scleromystax salmacis
Crenicichla scottii
Trichomycterus reinhardti
Corydoras aeneus
Geophagus iporangensis
Astyanax cremnobates
Rachoviscus crassiceps
Leporinus octofasciatus
Imparfinis minutus
Oligosarcus acutirostris
Harttia torrenticola
Rineloricaria maacki
Pseudotothyris janeirensis
Steindachneridion punctatum
Aspidoras lakoi
Deuterodon parahybae
Crenicichla jupiaensis
Cyphocharax naegelii
Otocinclus flexilis
Melanorivulus rutilicaudus
Cichlasoma paranaense
Pseudocorynopoma heterandria
Neoplecostomus granosus
Hypostomus regani
Triportheus signatus
Diapoma uruguayense
Corydoras difluviatilis
Steindachnerina brevipinna
Pareiorhaphis garbei
Crenicichla missioneira
Odontesthes piquava
Lophiobrycon weitzmani
Atlantirivulus janeiroensis
Hypsolebias brunoi
Franciscodoras marmoratus
Kryptolebias caudomarginatus
Eigenmannia virescens
Pimelodella harttii
Listrura tetraradiata
Pachyurus francisci
Cetopsorhamdia iheringi
Trichomycterus santaeritae
Megalancistrus parananus
Eurycheilichthys pantherinus
Astyanax turmalinensis
Anablepsoides cearensis
Simpsonichthys nigromaculatus
Chasmocranus truncatorostris
Cnesterodon carnegiei
Microglanis nigripinnis
Phalloceros lucenorum
Characidium serrano
Cambeva diabola
Hypsolebias igneus
Cnesterodon omorgmatos
Cambeva paolence
Astyanax vermilion
Phenacorhamdia unifasciata
Tatia boemia
Brycon orbignyanus
Leporinus maculatus
Trichomycterus potschi
Pareiorhina brachyrhyncha
Lycengraulis grossidens
Cynopoecilus fulgens
Characidium oiticicai
Apteronotus brasiliensis
Crenicichla maculata
Leptopanchax citrinipinnis
Planaltina myersi
Matilebias juanlangi
Centromochlus bockmanni
Rineloricaria tropeira
Delturus parahybae
Leporinus marcgravii
Stictorhinus potamius
Pseudostegophilus paulensis
Brycon nattereri
Australoheros barbosae
Platydoras brachylecis
Tetragonopterus argenteus
Phalloptychus iheringii
Prorivulus auriferus
Hyphessobrycon santae
Brachyhypopomus gauderio
Otothyropsis marapoama
Myloplus tiete
Cynopoecilus melanotaenia
Synbranchus marmoratus
Gymnogeophagus setequedas
Crenicichla celidochilus
Astyanax hastatus
Astyanax taeniatus
Melanorivulus scalaris
Characidium heirmostigmata
Cynolebias gilbertoi
Deuterodon burgerai
Hemigrammus brevis
Apareiodon davisi
Cynolebias paraguassuensis
Mimagoniates microlepis
Gymnotus pantherinus
Australoheros taura
Phalloceros buckupi
Anablepsoides bahianus
Cambeva iheringi
Phalloptychus eigenmanni
Apareiodon affinis
Hyphessobrycon reticulatus
Spatuloricaria nudiventris
Hyphessobrycon boulengeri
Phalloceros ocellatus
Nematocharax venustus
Notholebias cruzi
Pimelodella laurenti
Crenicichla hadrostigma
Trichomycterus nigricans
Hypostomus punctatus
Curimatella lepidura
Odontesthes ledae
Bergiaria westermanni
Metynnis lippincottianus
Rineloricaria pentamaculata
Heptapterus sympterygium
Oligosarcus oligolepis
Deuterodon janeiroensis
Gymnolebias jaegari
Homodiaetus banguela
Hypsolebias carlettoi
Oligosarcus macrolepis
Hyphessobrycon latus
Oligosarcus argenteus
Microcambeva ribeirae
Glanidium cesarpintoi
Cheirodon ibicuhiensis
Myleus altipinnis
Parotocinclus jumbo
Jenynsia eigenmanni
Parotocinclus minutus
Glanidium ribeiroi
Piaractus mesopotamicus
Phallotorynus victoriae
Harttia loricariformis
Harttia carvalhoi
Delturus angulicauda
Duopalatinus emarginatus
Trichomycterus pantherinus
Aspidoras carvalhoi
Cyphocharax platanus
Corydoras flaveolus
Serrasalmus striolatus
Pygocentrus nattereri
Hypsolebias virgulatus
Oligosarcus planaltinae
Odontostilbe pequira
Pterygoplichthys ambrosettii
Pimelodella lateristriga
Pseudancistrus genisetiger
Megaleporinus conirostris
Hemipsilichthys gobio
Hysteronotus megalostomus
Astyanax paranahybae
Hypostomus ancistroides
Leptopanchax aureoguttatus
Delturus brevis
Pimelodus platicirris
Harttia kronei
Rineloricaria jaraguensis
Coptobrycon bilineatus
Moenkhausia dichroura
Trichomycterus triguttatus
Pimelodella witmeri
Pseudopimelodus mangurus
Pseudoplatystoma corruscans
Cyphocharax saladensis
Piabarchus stramineus
Hyphessobrycon vinaceus
Astyanax gymnodontus
Loricaria apeltogaster
Loricaria piracicabae
Crenicichla vittata
Trichomycterus auroguttatus
Astyanax goyacensis
Cheirodon jaguaribensis
Corydoras paleatus
Psalidodon ojiara
Catathyridium jenynsii
Rineloricaria malabarbai
Odontesthes perugiae
Parotocinclus cristatus
Simpsonichthys santanae
Hypostomus tietensis
Cnesterodon decemmaculatus
Oligosarcus brevioris
Cambeva davisi
Trichomycterus trefauti
Oligosarcus solitarius
Trichomycterus mirissumba
Acestrorhynchus pantaneiro
Bryconamericus microcephalus
Astyanax laticeps
Australoheros saquarema
Kronichthys heylandi
Bryconamericus ikaa
Melanorivulus decoratus
Phallotorynus jucundus
Oligobrycon microstomus
Characidium fasciatum
Jenynsia diphyes
Deuterodon rosae
Hypostomus commersoni
Pimelodella wolfi
Characidium japuhybense
Australoheros robustus
Parodon hilarii
Rineloricaria kronei
Trichomycterus pauciradiatus
Amatolebias varzeae
Loricariichthys maculatus
Matilebias litzi
Trachelyopterus lacustris
Pterygoplichthys etentaculatus
Trichomycterus mimonha
Hoplias microcephalus
Auchenipterus osteomystax
Cynolebias porosus
Prochilodus hartii
Spintherobolus leptoura
Trichomycterus goeldii
