Hexanchus griseus
Clelia hussami
Helicops trivittatus
Tantilla boipiranga
Bothrops itapetiningae
Amerotyphlops amoipira
Caaeteboia amarali
Cyperus amabilis
Marsilea minuta
Zannichellia palustris
Brevoortia aurea
Dermanura anderseni
Vampyriscus bidens
Vampyriscus brocki
Najas marina
Leopardus colocolo
Caluromys philander
Caluromysiops irrupta
Eumops auripendulus
Eumops perotis
Nyctinomops macrotis
Dermanura gnoma
Thyroptera tricolor
Leopardus pardalis
Puma concolor
Monodelphis americana
Monodelphis scalops
Monodelphis glirina
Acanthochelys macrocephala
Acanthochelys radiolata
Acanthochelys spixii
Hydromedusa maximiliani
Mesoclemmys vanderhaegei
Rhinemys rufipes
Trachemys adiutrix
Ranacephala hogei
Peltocephalus dumerilianus
Podocnemis erythrocephala
Podocnemis expansa
Podocnemis sextuberculata
Podocnemis unifilis
Balistes capriscus
Balistes vetula
Diodon hystrix
Melichthys niger
Mola mola
Ranzania laevis
Xanthichthys ringens
Amazonsprattus scintilla
Anchoa marinii
Anchoviella alleni
Anchoviella carrikeri
Anchoviella jamesi
Engraulis anchoita
Jurengraulis juruensis
Corbicula fluminalis
Dendropsophus cachimbo
Boana leucocheila
Dendropsophus tintinnabulum
Pristimantis dundeei
Pristimantis memorans
Rhinella lescurei
Dendropsophus reichlei
Guatteria campinensis
Guatteria trichocarpa
Guatteria cryandra
Pellona castelnaeana
Brevoortia pectinata
Ramnogaster arcuata
Rhinosardinia bahiensis
Anchoa pectoralis
Anchoa tricolor
Anchovia surinamensis
Anchoviella juruasanga
Lycengraulis figueiredoi
Pterengraulis atherinoides
Paspalidium geminatum
Fuirena umbellata
Cyperus distans
Pristigaster cayana
Pristigaster whiteheadi
Utricularia amethystina
Utricularia foliosa
Utricularia olivacea
Mobula tarapacana
Mobula thurstoni
Mycteroperca marginata
Digitaria horizontalis
Digitaria insularis
Digitaria similis
Echinochloa crus-pavonis
Tripsacum andersonii
Rhinella bergi
Rhinella dorbignyi
Rhinella icterica
Melanophryniscus atroluteus
Melanophryniscus devincenzii
Melanophryniscus fulvoguttatus
Melanophryniscus klappenbachi
Vitreorana uranoscopa
Aplastodiscus perviridis
Boana caingua
Boana faber
Dendropsophus sanborni
Julianus uruguayus
Lysapsus limellum
Itapotihyla langsdorffii
Phyllomedusa tetraploidea
Pseudis minuta
Scinax acuminatus
Ololygon berthae
Scinax granulatus
Scinax perereca
Scinax similis
Adenomera diptyx
Ceratophrys cranwelli
Ceratophrys ornata
Crossodactylus schmidti
Lepidobatrachus laevis
Leptodactylus bufonius
Leptodactylus elenae
Leptodactylus furnarius
Leptodactylus gracilis
Leptodactylus labyrinthicus
Leptodactylus latinasus
Leptodactylus mystacinus
Leptodactylus plaumanni
Leptodactylus podicipinus
Limnomedusa macroglossa
Odontophrynus lavillai
Physalaemus albonotatus
Physalaemus biligonigerus
Physalaemus cuvieri
Physalaemus gracilis
Physalaemus henselii
Physalaemus riograndensis
Proceratophrys avelinoi
Proceratophrys bigibbosa
Dermatonotus muelleri
Chthonerpeton indistinctum
Luetkenotyphlus brasiliensis
Siphonops paulensis
Rhinella ornata
Ololygon aromothyella
Ischnocnema henselii
Boana curupi
Trachycephalus dibernardoi
Pseudopaludicola falcipes
Boana pulchella
Solanum asperolanatum
Solanum viarum
Isostichopus badionotus
Solanum malmeanum
Odontaspis ferox
Elasmothemis schubarti
Gynothemis aurea
Oligoclada laetitia
Bassanago albescens
Coloconger meadi
Pseudobatos horkelii
Pseudobatos percellens
Calidris alba
Nomeus gronovii
Nomeus gronovii
Pluvialis squatarola
Myliobatis ridens
Epinecrophylla amazonica
Epinecrophylla hoffmannsi
Myrmotherula luctuosa
Cercomacroides fuscicauda
Willisornis nigrigula
Conopophaga snethlageae
Conopophaga cearae
Sclerurus cearensis
Deconychura pallida
Dendrocincla turdina
Xiphorhynchus atlanticus
Xiphorhynchus beauperthuysii
Xiphorhynchus guttatoides
Campylorhamphus multostriatus
Campylorhamphus probatus
Lepidocolaptes duidae
Lepidocolaptes fuscicapillus
Xenops genibarbis
Cichlocolaptes holti
Automolus paraensis
Synallaxis simoni
Machaeropterus striolatus
Tityra braziliensis
Pachyramphus griseigularis
Schiffornis olivacea
Rhynchocyclus aequinoctialis
Tolmomyias viridiceps
Bathytoshia centroura
Hylophilus griseiventris
Tunchiornis luteifrons
Hirundinea bellicosa
Stigmatura bahiae
Elaenia sordida
Elaenia olivina
Myiopagis cinerea
Serpophaga griseicapilla
Myiodynastes solitarius
Sirystes albocinereus
Sirystes subcanescens
Knipolegus sclateri
Contopus bogotensis
Hypanus americanus
Hypanus americanus
Hypanus guttatus
Hypanus guttatus
Hypanus marianae
Hypanus marianae
Fontitrygon colarensis
Fontitrygon colarensis
Fontitrygon geijskesi
Fontitrygon geijskesi
Herpsilochmus scapularis
Catharus swainsoni
Turdus sanchezorum
Basileuterus auricapilla
Saltator olivascens
Myiothlypis mesoleuca
Myiothlypis roraimae
Granatellus paraensis
Cyanoloxia rothschildii
Piranga flava
Tangara whitelyi
Psarocolius yuracares
Icterus chrysocephalus
Agelaioides fringillarius
Sporophila pileata
Tangara flava
Tangara cyanomelas
Turdus subalaris
Tangara brasiliensis
Turdus debilis
Formicivora paludicola
Herpsilochmus praedictus
Herpsilochmus stotzi
Sporophila beltoni
Cyanocorax hafferi
Hypocnemis rondoni
Zimmerius chicomendesi
Hemitriccus cohnhafti
Tityra leucura
Scytalopus petrophilus
Cichlocolaptes mazarbarnetti
Lepidocolaptes fatimalimae
Scytalopus gonzagai
Physalis cordata
Procellaria aequinoctialis
Macronectes giganteus
Macronectes halli
Physalis angulata
Atya gabonensis
Atya scabra
Cryphiops brasiliensis
Euryrhynchus amazoniensis
Euryrhynchus burchelli
Euryrhynchus wrzesniowskii
Macrobrachium denticulatum
Macrobrachium iheringi
Macrobrachium jelskii
Potimirim brasiliana
Potimirim potimirim
Vigna adenantha
Utricularia adpressa
Utricularia alpina
Utricularia benjaminiana
Utricularia biovularioides
Utricularia blanchetii
Utricularia breviscapa
Utricularia calycifida
Utricularia campbelliana
Utricularia costata
Utricularia cucullata
Utricularia erectiflora
Utricularia geminiloba
Utricularia guyanensis
Callimedusa atelopoides
Callimedusa tomopterna
Pithecopus rusticus
Pithecopus ayeaye
Pithecopus ayeaye
Pithecopus azureus
Pithecopus azureus
Pithecopus centralis
Pithecopus hypochondrialis
Pithecopus megacephalus
Pithecopus nordestinus
Pithecopus oreades
Pithecopus oreades
Pithecopus palliatus
Pithecopus rohdei
Marsdenia glaziovii
Ditassa fontellae
Hornschuchia alba
Griffinia intermedia
Worsleya procera
Unonopsis riedeliana
Herpetacanthus delicatus
Aphelandra bradeana
Duguetia microphylla
Justicia itatiaiensis
Staurogyne euryphylla
Annona ferruginea
Trigynaea axilliflora
Aspidosperma ingratum
Gonolobus dorothyanus
Anemia candidoi
Eryngium fluminense
Aspidosperma compactinervium
Mandevilla crassinoda
Forsteronia linearis
Utricularia hispida
Utricularia humboldtii
Utricularia hydrocarpa
Utricularia jamesoniana
Utricularia laciniata
Utricularia longifolia
Utricularia myriocista
Utricularia naviculata
Utricularia nelumbifolia
Utricularia nigrescens
Utricularia parthenopipes
Utricularia platensis
Utricularia praelonga
Utricularia pubescens
Utricularia pusilla
Utricularia quelchii
Abelona michaelisi
Aphonomorphus variegatus
Cercoceracris albovittata
Pareucephalacris luridicrus
Utricularia reniformis
Cylindrogryllus aculeatus
Utricularia steyermarkii
Utricularia tenuissima
Utricularia viscosa
Proracris insignis
Hornschuchia alba
Unonopsis riedeliana
Grammadera chapadensis
Brasilodontus mucuriensis
Eurotettix brevicerci
Oxyprora flavicornis
Prionacris viridipennis
Scotussa lemniscata
Staleochlora arcuata
Typophyllum modestum
Acanthagrion hildegarda
Oreophrynella macconnelli
Oreophrynella quelchii
Vitreorana helenae
Hyalinobatrachium taylori
Anomaloglossus praderioi
Anomaloglossus roraima
Anomaloglossus tamacuarensis
Boana roraima
Boana rhythmica
Scinax exiguus
Stefania oculosa
Stefania tamacuarina
Ceuthomantis cavernibardus
Leptodactylus rugosus
Leptodactylus sabanensis
Physalaemus ephippifer
Adelastes hylonomos
Otophryne robusta
Otophryne steyermarki
Pipa arrabali
Nectocaecilia petersii
Rhinatrema nigrum
Allophryne ruthveni
Myersiohyla chamaeleo
Vitreorana gorzulae
Mnesarete lencionii
Argia botacudo
Argia chapadae
Argia lilacina
Calvertagrion charis
Cyanallagma nigrinuchale
Lygodactylus klugei
Dipteryx micrantha
Battus lycidas
Battus polydamas
Eurytides dolicaon
Parides anchises
Parides sesostris
Catharacta skua
Onychoprion fuscatus
Falco rusticolus
Fregata magnificens
Fregata minor
Fregata aquila
Fregata ariel
Aptenodytes patagonicus
Eudyptes chrysolophus
Bulweria bulwerii
Ardenna gravis
Ardenna grisea
Diomedea exulans
Diomedea epomophora
Protographium agesilaus
Hemitriccus minimus
Hemitriccus iohannis
Hemitriccus margaritaceiventer
Hemitriccus inornatus
Hemitriccus mirandae
Corythopis delalandi
Capsiempis flaveola
Elaenia mesoleuca
Elaenia ruficeps
Culicivora caudacuta
Euscarthmus rufomarginatus
Lophotriccus galeatus
Contopus cooperi
Contopus nigrescens
Knipolegus poecilurus
Knipolegus franciscanus
Knipolegus nigerrimus
Fluvicola nengeta
Typophyllum mortuifolium
Alectrurus tricolor
Attila citriniventris
Attila spadiceus
Empidonomus varius
Conopias parvus
Conopias trivirgatus
Melanoides tuberculata
Cotinga cotinga
Cotinga maculata
Haematoderus militaris
Chiroxiphia pareola
Heterocercus aurantiivertex
Heterocercus linteatus
Hypoedaleus guttatus
Biatas nigropectus
Clytoctantes atrogularis
Dysithamnus mentalis
Dysithamnus xanthopterus
Dysithamnus plumbeus
Epinecrophylla leucophthalma
Mobula mobular
Herpsilochmus sticturus
Herpsilochmus pectoralis
Formicivora rufa
Drymophila ochropyga
Drymophila devillei
Drymophila squamata
Cercomacra brasiliana
Cercomacroides serva
Cercomacra carbonaria
Cercomacra manu
Hypocnemis hypoxantha
Hylophylax punctulatus
Geositta poeciloptera
Furnarius figulus
Synallaxis hellmayri
Cranioleuca demissa
Asthenes luizae
Harpia harpyja
Asthenes hudsoni
Anabazenops dorsalis
Automolus rufipileatus
Clibanornis rectirostris
Heliobletus contaminatus
Certhiasomus stictolaemus
Drymornis bridgesii
Dendrexetastes rufigula
Hylexetastes stresemanni
Dendrocolaptes picumnus
Dendrocolaptes platyrostris
Dendroplex picus
Dendroplex kienerii
Lepidocolaptes angustirostris
Chamaeza campanisona
Chamaeza meruloides
Grallaria varia
Grallaria guatimalensis
Tinamus major
Eleoscytalopus psychopompus
Eleoscytalopus indigoticus
Tibiagomphus noval
Nephepeltia flavipennis
Chalcopteryx radians
Orthemis ambinigra
Hylophilus pectoralis
Cyanocorax cyanomelas
Touit huetii
Anthus nattereri
Coryphaspiza melanotis
Sporophila palustris
Hylopezus macularius
Acrobatornis fonsecai
Diomedea dabbenena
Calonectris edwardsii
Herpsilochmus pileatus
Calonectris borealis
Lepidocolaptes falcinellus
Hemitriccus zosterops
Formicivora grantsaui
Cinclodes fuscus
Clibanornis rubiginosus
Catharacta antarctica
Cercomacroides nigrescens
Sporophila beltoni
Passer domesticus
Maschalethraupis surinama
Carpornis melanocephala
Amaurospiza moesta
Limosa lapponica
Phoebetria fusca
Phaethon lepturus
Fulmarus glacialoides
Troglodytes aedon
Phoebetria palpebrata
Vireo olivaceus
Dipteryx alata
Calidris canutus
Cola ballayi
Cola nitida
Thalassarche chlororhynchos
Sterna dougallii
Anas acuta
Pluvialis squatarola
Sula leucogaster
Calidris subruficollis
Tigrisoma fasciatum
Daption capense
Anous minutus
Morus capensis
Myiopsitta monachus
Procellaria cinerea
Thalassarche chrysostoma
Diomedea sanfordi
Chionomesa lactea
Chaetura spinicaudus
Chionis albus
Dendrocygna autumnalis
Egretta caerulea
Nystalus striolatus
Piaya cayana
Piculus aurulentus
Macronectes giganteus
Procellaria conspicillata
Thalassarche steadi
Charadrius semipalmatus
Procellaria aequinoctialis
Cichlocolaptes mazarbarnetti
Saltator olivascens
Synallaxis simoni
Machaeropterus regulus
Stigmatura napensis
Sirystes subcanescens
Knipolegus orenocensis
Larus atlanticus
Cranioleuca vulpina
Rhynchocyclus aequinoctialis
Rhynchocyclus olivaceus
Elaenia olivina
Schiffornis olivacea
Schiffornis turdina
Epinecrophylla amazonica
Myrmotherula luctuosa
Herpsilochmus stotzi
Herpsilochmus rufimarginatus
Hypocnemis rondoni
Willisornis nigrigula
Conopophaga snethlageae
Conopophaga cearae
Xiphorhynchus atlanticus
Campylorhamphus probatus
Campylorhamphus multostriatus
Cercomacroides fuscicauda
Xiphorhynchus ocellatus
Macronectes halli
Xiphorhynchus beauperthuysii
Xenops genibarbis
Xenops minutus
Deconychura longicauda
Ortalis araucuan
Ortalis squamata
Chlorostilbon mellisugus
Turdus subalaris
Cyanocorax hafferi
Zimmerius chicomendesi
Hemitriccus cohnhafti
Tityra leucura
Knipolegus sclateri
Hylophilus thoracicus
Xenodon histricus
Aulostomus strigosus
Scinax rossaferesae
Brachycephalus albolineatus
Phrynomedusa dryade
Aplastodiscus lutzorum
Aplastodiscus albosignatus
Chaetura pelagica
Amazona diadema
Formicivora paludicola
Herpsilochmus praedictus
Scytalopus petrophilus
Scytalopus gonzagai
Lepidocolaptes fatimalimae
Myrcia almasensis
Myrcia areolata
Myrcia madida
Myrcia obumbrans
Myrcia pentagona
Myrcia brevispicata
Myrcia crebra
Myrcia densiflora
Myrcia simulata
Myrcia albidotomentosa
Myrcia amazonica
Myrcia florifera
Myrcia badia
Myrcia bipennis
Myrcia blanchetiana
Myrcia caesariata
Myrcia caudata
Myrcia clavija
Myrcia coelosepala
Myrcia colpodes
Myrcia decorticans
Myrcia diaphana
Myrcia dichrophylla
Myrcia egensis
Myrcia ensiformis
Myrcia eumecephylla
Myrcia ferruginea
Myrcia gigantea
Myrcia grandis
Myrcia hexasticha
Myrcia inaequiloba
Myrcia insularis
Myrcia littoralis
Myrcia lituatinervia
Myrcia magna
Myrcia mathewsiana
Myrcia mcvaughii
Myrcia micropetala
Myrcia minutiflora
Myrcia morroqueimadensis
Myrcia multiflora
Myrcia myrtillifolia
Myrcia neodimorpha
Myrcia neoestrellensis
Myrcia neoglabra
Myrcia neoobscura
Myrcia neoregeliana
Myrcia neoriedeliana
Myrcia neosuaveolens
Myrcia strigipes
Myrcia neuwiedeana
Myrcia obversa
Myrcia platyclada
Myrcia polyantha
Myrcia pubiflora
Myrcia pyrifolia
Myrcia racemosa
Myrcia racemulosa
Myrcia ramuliflora
Myrcia riodocensis
Myrcia rubiginosa
Myrcia rufipila
Myrcia rupta
Myrcia santateresana
Myrcia saxatilis
Myrcia scytophylla
Myrcia speciosa
Myrcia subobliqua
Myrcia suborbicularis
Myrcia sucrei
Myrcia tetraphylla
Myrcia umbraticola
Euplassa bahiensis
Euplassa cantareirae
Euplassa glaziovii
Euplassa hoehnei
Euplassa inaequalis
Euplassa incana
Euplassa itatiaiae
Euplassa legalis
Euplassa nebularis
Euplassa organensis
Euplassa pinnata
Euplassa rufa
Euplassa semicostata
Euplassa taubertiana
Panopsis rubescens
Panopsis sessilifolia
Roupala caparoensis
Roupala consimilis
Roupala dielsii
Roupala longipetiolata
Roupala meisneri
Roupala nitida
Roupala nonscripta
Roupala obtusata
Roupala psilocarpa
Roupala sororopana
Roupala suaveolens
Scytalopus speluncae
Tunchiornis ochraceiceps
Tunchiornis luteifrons
Adenomera heyeri
Chiasmocleis shudikarensis
Ramphastos toco
Tepuihyla tuberculosa
Boana xerophylla
Dendropsophus mapinguari
Boana cambui
Oryza alta
Oryza glumipatula
Dendropsophus reticulatus
Chiasmocleis migueli
Chiasmocleis quilombola
Chiasmocleis altomontana
Chiasmocleis veracruz
Phyllodytes megatympanum
Dendropsophus arndti
Euplassa madeirae
Myrcia neorostrata
Myrcia revolutifolia
Myrcia uniflora
Myrcia subulata
Myrcia spathulifolia
Myrcia trimera
Akodon azarae
Akodon cursor
Akodon serrensis
Necromys urichi
Ametrida centurio
Anisotremus moricandi
Bibimys labiosus
Blarinomys breviceps
Calomys callosus
Calomys hummelincki
Calomys laucha
Calomys tener
Ctenomys boliviensis
Ctenomys torquatus
Delomys dorsalis
Eptesicus diminutus
Holochilus brasiliensis
Lundomys molitor
Holochilus sciureus
Mus musculus
Myocastor coypus
Myotis levis
Neacomys spinosus
Nectomys rattus
Nectomys squamipes
Notiomys edwardsii
Oecomys bicolor
Oecomys rex
Oecomys roberti
Oecomys rutilus
Oecomys superans
Oligoryzomys chacoensis
Oligoryzomys eliurus
Oligoryzomys flavescens
Oligoryzomys fulvescens
Oligoryzomys microtis
Euryoryzomys macconnelli
Euryoryzomys nitidus
Cerradomys subflavus
Hylaeamys yunganus
Oxymycterus angularis
Oxymycterus delator
Oxymycterus hispidus
Brucepattersonius iheringi
Oxymycterus nasutus
Oxymycterus roberti
Oxymycterus rufus
Pseudoryzomys simplex
Pteronotus personatus
Rhipidomys leucodactylus
Rhipidomys mastacalis
Rhipidomys wetzeli
Sciurus igniventris
Sciurus spadiceus
Scolomys ucayalensis
Sigmodon alstoni
Lophostoma brasiliense
Juliomys pictipes
Hylaeamys megacephalus
Euryoryzomys russatus
Cebus albifrons
Chiasmocleis carvalhoi
Sooretamys angouya
Akodon montensis
Oecomys catherinae
Rhipidomys macrurus
Necromys lenguarum
Hylaeamys perenensis
Oxymycterus quaestor
Oecomys auyantepui
Calomys expulsus
Oligoryzomys fornesi
Nectomys apicalis
Peprilus paru
Genidens genidens
Lophius gastrophysus
Eustomias posti
Pristipomoides freemani
Stegastes fuscus
Lophodolos indicus
Sciades couma
Platybelone argalus
Monomitopus agassizii
Myctophum spinosum
Cynoscion acoupa
Porichthys oculofrenum
Scopelosaurus herwigi
Hyporhamphus roberti
Pseudocyttus maculatus
Pseudopercis numida
Odontesthes incisa
Haemulon striatum
Scopeloberyx opisthopterus
Nessorhamphus danae
Rhamphocetichthys savagei
Synaphobranchus kaupii
Malacocephalus occidentalis
Mugil incilis
Glossanodon pygmaeus
Remora osteochir
Trichiurus lepturus
Luvarus imperialis
Decapterus macarellus
Cheilopogon cyanopterus
Aluterus scriptus
Seriola fasciata
Pristipomoides aquilonaris
Histrio histrio
Orthopristis ruber
Pomatomus saltatrix
Canthidermis sufflamen
Lactophrys triqueter
Pristipomoides macrophthalmus
Regalecus glesne
Selar crumenophthalmus
Echeneis naucrates
Taractichthys longipinnis
Sphyraena barracuda
Amblycirrhitus pinos
Canthidermis maculata
Synodus poeyi
Naucrates ductor
Caranx hippos
Phtheirichthys lineatus
Haemulon aurolineatum
Synodus intermedius
Rhonciscus crocro
Diodon eydouxii
Masturus lanceolatus
Chilomycterus reticulatus
Lactophrys trigonus
Diodon holocanthus
Conodon nobilis
Haemulon boschmae
Haemulon chrysargyreum
Haemulon melanurum
Haemulon parra
Haemulopsis corvinaeformis
Lampris guttatus
Micropogonias furnieri
Hyalinobatrachium munozorum
Priacanthus arenatus
Sardinella aurita
Seriola dumerili
Remora australis
Remora remora
Synodus synodus
Trachinocephalus myops
Aluterus monoceros
Aluterus schoepfii
Antennarius striatus
Antigonia capros
Cantherhines pullus
Caranx lugubris
Chloroscombrus chrysurus
Decapterus punctatus
Saurida normani
Myripristis jacobus
Sargocentron bullisi
Uraspis secunda
Psenes cyanophrys
Psenes pellucidus
Heteropriacanthus cruentatus
Fistularia petimba
Monacanthus ciliatus
Stephanolepis hispidus
Parasudis truculenta
Sphyraena borealis
Urophycis regia
Oecomys concolor
Rhipidomys nitela
Micrognathus erugatus
Pseudophallus mindii
Aotus nancymaae
Saguinus martinsi
Parona signata
Aplastodiscus musicus
Clarias gariepinus
Hylodes glaber
Phantasmarana massarti
Vitreorana parvula
Roupala gracilis
Roupala sculpta
Coleodactylus elizae
Squatina argentina
Cenchrus latifolius
Daucus pusillus
Myrcia amapensis
Myrcia neovelutina
Myrcia neoverticillaris
Myrcia skortzoviana
Myrcia stictophylla
Myrcia uaupensis
Myrcia ehrenbergiana
Myrcia excoriata
Myrcia gilsoniana
Myrcia graciliflora
Myrcia macrocarpa
Harpia harpyja
Vultur gryphus
Allobates olfersioides
Carcharhinus falciformis
Digitaria aequiglumis
Digitaria lehmanniana
Digitaria pittieri
Digitaria sacchariflora
Theobroma obovatum
Theobroma sinuosum
Theobroma subincanum
Tripsacum australe
Xanthosoma helleborifolium
Xanthosoma poeppigii
Xanthosoma pubescens
Osteocephalus helenae
Morphnus guianensis
Acanthagrion franciscoi
Erythrodiplax ana
Franciscagrion franciscoi
Franciscagrion longispinum
Franciscobasis franciscoi
Franciscobasis sonia
Minagrion franciscoi
Minagrion canaanense
Oxyagrion franciscoi
Nyctiprogne vielliardi
Pionus reichenowi
Synallaxis hellmayri
Tovomita iaspidis
Amazona brasiliensis
Terenura sicki
Thamnophilus doliatus
Cichlocolaptes mazarbarnetti
Myrmelastes leucostigma
Glyphorynchus spirurus
Xiphorhynchus ocellatus
Cranioleuca vulpina
Pachyramphus polychopterus
Laniocera hypopyrra
Neopipo cinnamomea
Piprites chloris
Phylloscartes ventralis
Rhynchocyclus aequinoctialis
Hemitriccus griseipectus
Hemitriccus striaticollis
Hirundinea bellicosa
Zimmerius gracilipes
Celeus ochraceus
Piculus chrysochloros
Sterna dougallii
Zimmerius acer
Capsiempis flaveola
Phyllomyias fasciatus
Serpophaga hypoleuca
Serpophaga griseicapilla
Machetornis rixosa
Sublegatus arenarum
Pyrocephalus rubinus
Xolmis dominicanus
Cnemotriccus fuscatus
Contopus nigrescens
Cosmocampus elucens
Hylophilus amaurocephalus
Hylophilus poicilotis
Hylophilus semicinereus
Vireo sclateri
Vireo altiloquus
Donacobius atricapilla
Microstigma maculatum
Mnesarete rhopalon
Automolus lammi
Hemitriccus kaempferi
Pyrrhura leucotis
Phylloscartes ceciliae
Cyanocorax cristatellus
Cyanocorax coeruleus
Cyanocorax chrysops
Herpsilochmus pectoralis
Tachycineta meyeni
Pygochelidon cyanoleuca
Pygochelidon melanoleuca
Alopochelidon fucata
Atticora tibialis
Conothraupis mesoleuca
Leptodon forbesi
Nothura minor
Sporophila maximiliani
Scytalopus speluncae
Chionomesa lactea
Chaetura spinicaudus
Chionis albus
Dendrocygna autumnalis
Egretta caerulea
Nystalus striolatus
Piaya cayana
Tigrisoma fasciatum
Touit huetii
Nemosia rourei
Myrmotherula klagesi
Cnipodectes superrufus
Dinizia jueirana-facao
Amazona vinacea
Pyrrhura griseipectus
Amazona rhodocorytha
Puffinus lherminieri
Xipholena atropurpurea
Anumara forbesi
Phoenicagrion karaja
Telebasis abuna
Telebasis coccinea
Sporophila cinnamomea
Hypocnemis ochrogyna
Spheniscus magellanicus
Laterallus jamaicensis
Formicivora paludicola
Herpsilochmus praedictus
Herpsilochmus stotzi
Hypocnemis rondoni
Scytalopus petrophilus
Scytalopus gonzagai
Lepidocolaptes fatimalimae
Tityra leucura
Zimmerius chicomendesi
Cyanocorax hafferi
Sporophila beltoni
Anodorhynchus leari
Gelochelidon nilotica
Hydrobates leucorhous_old
Calidris fuscicollis
Larus pipixcan
Caretta caretta
Dacryodes amplectans
Dacryodes negrensis
Nectandra reticulata
Morus capensis
Catharacta maccormicki
Calonectris edwardsii
Thalurania watertonii
Laniisoma elegans
Agelaioides badius
Agelaioides fringillarius
Basileuterus auricapilla
Cacicus cela
Charitospiza eucosma
Cyanoloxia rothschildii
Dacnis albiventris
Dacnis lineata
Geothlypis aequinoctialis
Granatellus paraensis
Granatellus pelzelni
Icterus cayanensis
Icterus chrysocephalus
Microspingus cinereus
Myiothlypis mesoleuca
Myiothlypis rivularis
Myiothlypis roraimae
Paroaria baeri
Pipraeidea bonariensis
Piranga flava
Piranga hepatica
Poospiza nigrorufa
Psarocolius angustifrons
Psarocolius bifasciatus
Psarocolius yuracares
Saltator coerulescens
Saltator olivascens
Sporophila angolensis
Sporophila bouvreuil
Sporophila pileata
Sturnella magna
Tangara brasiliensis
Tangara cayana
Tangara cyanomelas
Tangara flava
Tangara cyanoptera
Thalassarche melanophris
Amaurospiza moesta
Setophaga petechia
Paroaria gularis
Setophaga pitiayumi
Tangara mexicana
Tangara peruviana
Tangara velia
Tangara whitelyi
Phoenicagrion flavescens
Phoenicagrion ibseni
Phoenicagrion megalobos
Castoraeschna colorata
Castoraeschna corbeti
Bryoplathanon globifer
Hetaerina amazonica
Hetaerina erythrokalamus
Hetaerina medinai
Hetaerina simplex
Mnesarete fuscibasis
Mnesarete hyalina
Punjuba racemiflora
Myrcia insigniflora
Glareola pratincola
Acanthagrion amazonicum
Acanthagrion chararum
Acanthagrion chicomendesi
Acanthagrion flaviae
Acanthagrion jessei
Acanthagrion kaori
Acanthagrion triangulare
Aceratobasis mourei
Aceratobasis nathaliae
Argia hasemani
Argia iralai
Argia mollis
Argia tamoyo
Calvertagrion minutissimum
Cyanallagma trimaculatum
Epipleoneura humeralis
Epipleoneura machadoi
Epipleoneura waiwaiana
Epipleoneura westfalli
Leptagrion afonsoi
Mesoleptobasis cantralli
Mesoleptobasis elongata
Metaleptobasis amazonica
Metaleptobasis quadricornis
Metaleptobasis selysi
Minagrion caldense
Neoneura schreiberi
Neoneura waltheri
Oxyagrion brevistigma
Oxyagrion machadoi
Phasmoneura janirae
Psaironeura bifurcata
Roppaneura beckeri
Telagrion longum
Telebasis paraensei
Telebasis theodori
Telebasis vulcanoae
Tuberculobasis costalimai
Gomphoides perdita
Gomphoides praevia
Gomphoides infumata
Argia loutoni
Metaleptobasis spatulata
Heteragrion silvarum
Lestes fernandoi
Lestes quadristriatus
Edonis helena
Erythrodiplax anatoidea
Erythrodiplax anomala
Erythrodiplax avittata
Macrothemis marmorata
Micrathyria athenais
Oligoclada crocogaster
Perilestes bispinus
Perilestes minor
Perissolestes aculeatus
Philogenia margarita
Archaeogomphus densus
Archaeogomphus infans
Archilestes exoletus
Anatya januaria
Allopodagrion brachyurum
Adelophryne patamona
Melanoides tuberculata
Alternanthera sessilis
Lemna aequinoctialis
Lemna minor
Pistia stratiotes
Ethulia conyzoides
Anomaloglossus kaiei
Eugenia albicans
Blechnum australe
Ceratophyllum demersum
Cyperus amabilis
Cyperus articulatus
Cyperus compressus
Cyperus rotundus
Cyperus squarrosus
Cyperus tenuispica
Cyperus flavescens
Cyperus lanceolatus
Cyperus macrostachyos
Cyperus mundii
Cyperus polystachyos
Eleocharis nigrescens
Scleria distans
Scleria lagoensis
Neptunia oleracea
Dicranopteris linearis
Najas marina
Wolffia arrhiza
Wolffiella welwitschii
Elaphoglossum hybridum
Marsilea minuta
Nephrolepis undulata
Ludwigia leptocarpa
Potamogeton pusillus
Ceratopteris cornuta
Cyclosorus interruptus
Tovomitopsis paniculata
Tovomitopsis saldanhae
Tovomita acutiflora
Tovomita amazonica
Tovomita calodictyos
Tovomita caloneura
Tovomita calophyllophylla
Tovomita choisyana
Tovomita duckei
Tovomita fanshawei
Tovomita fructipendula
Tovomita glazioviana
Tovomita gracilipes
Tovomita grata
Tovomita guianensis
Tovomita hopkinsii
Tovomita laurina
Tovomita leucantha
Tovomita longifolia
Tovomita macrophylla
Tovomita mangle
Tovomita megantha
Tovomita riedeliana
Tovomita rubella
Tovomita salimenae
Tovomita schomburgkii
Tovomita secunda
Tovomita speciosa
Tovomita spruceana
Tovomita stergiosii
Tovomita tenuiflora
Tovomita umbellata
Tovomita vismiifolia
Tovomita volkeri
Anomaloglossus leopardus
Atelopus flavescens
Dendropsophus gaucheri
Pristimantis espedeus
Pristimantis jester
Scinax jolyi
Digitaria fragilis
Pseudopaludicola mystacalis
Argia fumigata
Crotalaria lanceolata
Uncisudis advena
Bokermannohyla vulcaniae
Proceratophrys palustris
Pseudopaludicola motorzinho
